StateCode,Division,Year,Month,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
106,0,1998,3,3.69,51.2,4.16,4.16,1.92,4.16,28,354,1.03,1.27,1.86,1.53,1.06,1.65,1.75,40,62.4
106,0,1998,4,2.03,60.4,-0.37,3.36,-1.11,2.87,61,129,-1.1,0.01,0.39,0.98,0.96,0.9,1.7,47.2,73.6
106,0,1998,5,1.49,74.5,-1.9,1.44,-4.71,-0.88,349,5,-2.55,-2.85,-1.37,0.27,0.16,0.28,1.6,61.4,87.5
106,0,1998,6,1.79,81.3,-3.11,-3.11,-4.21,-3.11,534,1,-1.5,-2.39,-2.66,-0.58,-0.09,-0.37,1.33,68.8,93.8
106,0,1998,7,2.96,84.7,-3.81,-3.81,-3.06,-3.81,645,0,-0.23,-1.23,-2.11,-1.24,-0.32,-0.21,1.19,72.7,96.7
106,0,1998,8,3.15,81.6,-3.72,-3.72,-0.92,-3.72,567,0,0.32,-0.06,-0.92,-1.43,-0.28,-0.25,0.85,69.8,93.4
106,0,1998,9,4.11,78.7,0,-3.34,-0.01,-3.29,455,1,0.85,0.73,0.42,-1.46,-0.28,0.07,0.77,67,90.3
106,0,1998,10,4.72,66,0.72,-2.28,2.17,-1.31,163,56,1.28,1.35,1.32,-0.49,-0.2,0.31,1.11,54.7,77.4
106,0,1998,11,3.51,55.8,1.05,-1.64,1.21,-0.19,47,228,0.93,1.42,1.54,0.64,-0.13,0.58,1.07,45.5,66.2
106,0,1998,12,2.55,45.5,1.14,-1.27,0.59,0.36,9,503,0.18,0.72,1.25,1.3,-0.37,0.41,1.06,34.6,56.4
106,0,1999,1,3.44,45.8,1.74,1.74,2.15,1.74,24,499,1.25,0.93,1.16,1.77,0.16,0.31,1.29,33.4,58.2
106,0,1999,2,0.71,52.8,0.66,0.66,-2.7,-0.74,37,289,-1.89,-0.17,-0.12,1.18,0.45,-0.2,0.81,39.5,66.2
106,0,1999,3,3.6,53.3,1.04,1.04,1.35,0.3,44,308,0.94,-0.44,0.34,1.09,1.24,-0.22,0.95,41.6,64.8
106,0,1999,4,3.43,64.2,0.98,0.98,0.15,0.28,139,71,0.35,0.75,-0.13,0.6,1.34,0.06,0.7,52.2,76.2
106,0,1999,5,4.15,70.2,0.97,0.97,0.26,0.35,245,20,0.2,0.32,0.66,0.36,1.24,0.65,0.71,58.3,82.1
106,0,1999,6,4.87,77.2,1.61,1.61,2.24,1.61,416,2,1.06,0.78,0.76,0.72,1.21,1.35,0.7,67,87.5
106,0,1999,7,2.38,81.7,1.6,1.6,0.45,1.6,533,0,-0.88,0.29,0.28,0.11,0.61,1.16,0.71,70.6,92.7
106,0,1999,8,1.69,82.8,-0.68,0.76,-2.03,-0.36,600,0,-1.55,-1.45,-0.43,0.13,0.04,0.79,0.48,69.7,95.9
106,0,1999,9,2.36,73.1,-1.01,-1.01,-1.22,-1.01,319,11,-0.67,-1.36,-1.47,-0.4,-0.16,0.43,0.43,60.2,86
106,0,1999,10,1.81,63.5,-1.3,-1.3,-1.17,-1.3,112,84,-0.55,-0.83,-1.39,-0.77,-0.67,-0.11,0.1,48.9,78.1
106,0,1999,11,0.77,57.2,-2.38,-2.38,-3.64,-2.38,46,203,-1.63,-1.48,-1.49,-1.31,-0.7,-0.66,-0.15,42.5,72
106,0,1999,12,2.28,45.8,-2.76,-2.76,-1.88,-2.76,7,499,-0.1,-1.17,-1.19,-1.85,-0.98,-0.71,-0.19,33.1,58.6
106,0,2000,1,1.35,45.9,-3.54,-3.54,-3.19,-3.54,24,498,-0.94,-0.78,-1.39,-1.85,-1.29,-1.18,-0.54,33.6,58.2
106,0,2000,2,1.39,52.5,-4.58,-4.58,-4.22,-4.58,38,294,-0.96,-1.35,-1.11,-1.7,-1.56,-1.05,-0.8,39,66.1
106,0,2000,3,3.5,57.5,-4.4,-4.4,-0.89,-4.4,84,211,0.84,-0.02,-0.5,-1.13,-1.72,-1.08,-0.85,45.4,69.7
106,0,2000,4,2.71,62.2,-4.1,-4.1,-0.47,-4.1,86,105,-0.32,0.3,-0.21,-1.04,-1.63,-1.24,-0.78,49.1,75.3
106,0,2000,5,3.58,73.8,-4.42,-4.42,-2.21,-4.42,327,8,-0.29,-0.46,0.06,-0.66,-1.31,-1.33,-0.47,61.9,85.6
106,0,2000,6,5.31,76.8,-3.36,-3.36,1.82,-2.61,401,2,1.39,0.71,0.4,0.03,-0.68,-1.21,0.04,66.4,87.2
106,0,2000,7,1.71,82.4,-3.77,-3.77,-2.26,-3.77,567,0,-1.67,0.15,-0.09,-0.18,-0.82,-1.31,-0.15,70,94.7
106,0,2000,8,0.7,84,-4.95,-4.95,-4.7,-4.95,614,0,-3.09,-2.61,-1.01,-0.68,-1.01,-1.42,-0.47,70.4,97.6
106,0,2000,9,1.64,76.1,-5.42,-5.42,-2.96,-5.42,383,3,-1.38,-2.56,-2.57,-1.42,-1.36,-1.54,-0.89,61.6,90.5
106,0,2000,10,3.62,65.2,0.28,-4.58,0.85,-4.21,144,61,0.73,-0.21,-1.34,-0.97,-0.88,-1.26,-1.02,53.8,76.5
106,0,2000,11,5.67,48.1,1.85,-2.52,4.78,-0.33,14,408,2.22,1.8,1.06,0.13,0.11,-0.31,-0.74,37.8,58.3
106,0,2000,12,2.16,37.1,2.15,-1.76,1.49,0.88,0,759,-0.24,1.64,1.49,-0.51,-0.18,-0.33,-0.67,26.7,47.4
106,0,2001,1,2.86,40.3,2.64,-0.87,2.13,2.33,6,677,0.73,0.26,1.73,0.19,0.04,-0.03,-0.77,30,50.6
106,0,2001,2,3.36,47.3,3.05,3.05,2.04,3.05,22,399,1.25,1.27,0.82,1.26,0.47,0.37,-0.42,36.3,58.2
106,0,2001,3,3.7,50.2,3.43,3.43,2.08,3.43,17,398,1.04,1.5,1.49,1.91,0.28,0.42,-0.42,39.7,60.7
106,0,2001,4,1.47,65.7,-1,2.08,-3,0.82,140,53,-1.94,-0.35,0.28,1.23,0.24,0.13,-0.73,53.7,77.8
106,0,2001,5,4.07,71.6,-1.15,1.61,-0.77,0.06,269,11,0.13,-0.98,-0.2,0.28,0.79,0.22,-0.75,59.5,83.7
106,0,2001,6,3.92,78.1,-0.96,1.51,0.22,0.08,418,1,0.31,0.23,-0.55,0.49,1.17,-0.08,-0.91,66.4,89.9
106,0,2001,7,2.09,84,-1.59,0.63,-2.2,-1.52,592,0,-1.21,-0.46,-0.32,-0.06,0.76,0.03,-0.94,72.1,95.8
106,0,2001,8,3.61,81.7,-1.37,0.62,0.19,-1.3,548,0,0.73,-0.33,-0.11,-0.26,0.15,0.59,-0.61,69.9,93.4
106,0,2001,9,3.8,72.9,-0.95,0.84,0.84,-0.71,291,11,0.6,0.82,0.04,-0.38,0.4,1.02,-0.46,61.1,84.6
106,0,2001,10,2.69,62.4,-0.8,0.8,0.15,-0.61,87,109,0.15,0.39,0.57,0.1,0.22,0.86,-0.36,48.7,76.1
106,0,2001,11,3.45,56.8,-0.56,0.88,0.47,-0.34,49,210,0.89,0.57,0.7,0.42,0.19,0.45,0,45,68.5
106,0,2001,12,3.11,46.9,-0.32,0.97,0.54,-0.06,11,465,0.72,0.99,0.68,0.55,0.09,0.65,0.21,35,58.7
106,0,2002,1,2.09,45,-0.35,0.8,-0.19,-0.2,17,531,-0.05,0.38,0.75,0.87,0.46,0.5,0.33,32.5,57.5
106,0,2002,2,1.47,44.4,-0.51,-0.51,-0.59,-0.51,4,507,-0.85,-0.63,-0.13,0.42,0.25,0.08,0.34,31.6,57.2
106,0,2002,3,3.31,51.4,-0.02,-0.02,1.32,0.65,32,346,0.65,-0.1,-0.15,0.38,0.33,0,0.31,38.2,64.7
106,0,2002,4,2.55,65.6,-0.49,-0.49,-1.42,-0.49,154,59,-0.49,0.1,-0.35,0.21,0.48,0.22,0.31,54,77.2
106,0,2002,5,3.07,70.4,-0.94,-0.94,-1.49,-0.94,249,23,-0.76,-0.92,-0.36,-0.39,0.02,-0.03,0.24,58.3,82.5
